judul,vektor
"perbandingan optimasi algoritma random forest menggunakan  teknik boosting (xgboost dan adaboost) 
terhadap kasus klasifikasi churn pelanggan di industri telekomunikasi","[0.6833, -0.0831, -0.0168, 0.0946, 0.138, -0.3296, 0.7898, 0.168, 0.14, 0.4165, -0.117, 0.2507, -0.3185, 0.4688, 0.5042, 0.0385, 0.3649, -0.1018, -0.2089, -0.0765, -0.1208, 0.1095, 0.0794, -0.2391, 0.4066, -0.4533, 0.2305, 0.3337, -0.6639, -0.446, 0.2503, 0.2018, 0.2562, 0.5419, -0.1761, -0.2062, -0.0832, 0.1223, -0.2082, 0.0309, -0.0568, -0.1538, 0.1559, -0.4849, 0.4788, 0.396, 0.1015, -0.2276, 0.2023, 0.3661]"
"analisis algoritma gaussian naïve bayes terhadap klasifikasidata pasien demam tifoid (typhoid fever) di puskesmas balung
jember","[0.8446, -0.0836, -0.0178, 0.1564, 0.3035, -0.3522, 0.8714, 0.0742, 0.0867, 0.3585, -0.0531, 0.3553, -0.4423, 0.5741, 0.7363, 0.1345, 0.3907, -0.1203, -0.1754, -0.1324, 0.0545, 0.222, 0.1086, -0.279, 0.4156, -0.6199, 0.3704, 0.4304, -0.8351, -0.3995, 0.3724, 0.2926, 0.1887, 0.6596, -0.1845, -0.0755, -0.1568, 0.1418, -0.238, 0.0676, -0.0899, -0.2969, 0.1787, -0.5955, 0.5865, 0.3704, 0.1143, -0.317, 0.2879, 0.4375]"
perbandingan tools forensik digital untuk mendukung kinerja analisis bukti digital menggunakan metode nist,"[0.6355, -0.091, -0.0306, 0.0845, 0.0555, -0.3277, 0.746, 0.2312, 0.1715, 0.4761, -0.1328, 0.1966, -0.2465, 0.3756, 0.3668, -0.0284, 0.3153, -0.1196, -0.2138, -0.0665, -0.2184, 0.0388, 0.0761, -0.1923, 0.3765, -0.3491, 0.1735, 0.279, -0.6015, -0.4879, 0.2205, 0.1772, 0.2808, 0.4923, -0.1656, -0.2801, -0.0855, 0.1349, -0.2048, -0.0228, -0.0815, -0.0666, 0.1622, -0.3905, 0.4017, 0.4011, 0.094, -0.2286, 0.1556, 0.318]"
klasifikasi kategori pertandingan atlet silat perisai diri menggunakan metode gaussian naïve bayes berbasis web,"[0.7394, -0.0966, -0.0239, 0.1188, 0.1332, -0.3634, 0.8414, 0.2118, 0.149, 0.4741, -0.1253, 0.2642, -0.319, 0.4596, 0.506, 0.0189, 0.3559, -0.1344, -0.2208, -0.0852, -0.1643, 0.1029, 0.093, -0.2319, 0.4057, -0.4415, 0.242, 0.3532, -0.6958, -0.5082, 0.2881, 0.2203, 0.2882, 0.5828, -0.1788, -0.2361, -0.1188, 0.1453, -0.2314, -0.0141, -0.0863, -0.141, 0.1798, -0.4823, 0.4907, 0.4267, 0.0967, -0.2828, 0.2109, 0.382]"
klasifikasi gagal jantung berdasarkan gejala menggunakan metode mknn (modifiedik-nearest neighbor),"[0.6236, -0.1027, -0.0001, 0.0578, 0.0845, -0.336, 0.7628, 0.2158, 0.1521, 0.4544, -0.1604, 0.2262, -0.2973, 0.4336, 0.4332, -0.0278, 0.3353, -0.0969, -0.2786, -0.0549, -0.195, 0.0829, 0.1167, -0.2667, 0.3836, -0.3612, 0.2117, 0.3403, -0.5678, -0.5231, 0.2252, 0.1613, 0.2859, 0.5085, -0.1954, -0.2697, -0.0919, 0.0643, -0.1599, -0.014, -0.0067, -0.1393, 0.1687, -0.4895, 0.4857, 0.4673, 0.1013, -0.1908, 0.1713, 0.3639]"
deteksi penyakit daun teh menggunakan metode convolutional neural network,"[0.6347, -0.0942, -0.0223, 0.0598, 0.0555, -0.3642, 0.7534, 0.2443, 0.1563, 0.4937, -0.1563, 0.2272, -0.2713, 0.4186, 0.3778, -0.0391, 0.3342, -0.1032, -0.2838, -0.0489, -0.2444, 0.0647, 0.1, -0.23, 0.3922, -0.3515, 0.1836, 0.3069, -0.5831, -0.5364, 0.2199, 0.1534, 0.2964, 0.4922, -0.193, -0.295, -0.102, 0.1076, -0.2006, -0.02, -0.0418, -0.0956, 0.1637, -0.4345, 0.4398, 0.4535, 0.1038, -0.2043, 0.1408, 0.3405]"
"klasifikasi sentimen terhadap penyelenggaraan haji indonesia tahun 2023 melalui twitter menggunakan teknik
balancing dan metode gaussian naive bayes","[0.7787, -0.0995, -0.0238, 0.1565, 0.2525, -0.3358, 0.835, 0.0919, 0.0903, 0.3731, -0.069, 0.3135, -0.3929, 0.5348, 0.6518, 0.1011, 0.3569, -0.1057, -0.1758, -0.1071, -0.0149, 0.1838, 0.0992, -0.2534, 0.3897, -0.5437, 0.3023, 0.3975, -0.7631, -0.3757, 0.3358, 0.273, 0.1866, 0.6058, -0.1573, -0.1012, -0.1348, 0.1557, -0.2314, 0.044, -0.0806, -0.2402, 0.186, -0.5326, 0.5052, 0.3373, 0.1172, -0.2788, 0.2516, 0.409]"
sistem pakar diagnosa penyakit tanaman buah naga menggunakan metode hybrid case based berbasis web,"[0.5953, -0.1221, -0.0059, 0.0779, -0.0582, -0.3651, 0.7719, 0.3566, 0.1655, 0.6268, -0.2031, 0.1977, -0.2227, 0.3648, 0.2752, -0.1545, 0.3127, -0.0973, -0.3429, -0.053, -0.4216, -0.0062, 0.1006, -0.244, 0.3738, -0.2261, 0.1163, 0.3059, -0.5022, -0.6601, 0.2177, 0.1215, 0.3426, 0.4743, -0.1704, -0.4105, -0.0665, 0.0796, -0.162, -0.1127, -0.0263, -0.0487, 0.2066, -0.4068, 0.4247, 0.5194, 0.1046, -0.1662, 0.1087, 0.3571]"
"pengaruh teknik smote terhadap prediksi harapan hidup penderita penyakit hepatitis menggunakan
algoritma k-nearest neighbor","[0.8008, -0.0749, -0.0182, 0.1078, 0.2809, -0.3767, 0.8325, 0.0755, 0.1043, 0.3857, -0.0696, 0.362, -0.4495, 0.6375, 0.6842, 0.1508, 0.4136, -0.0818, -0.1884, -0.1092, 0.032, 0.2425, 0.088, -0.2728, 0.4727, -0.6342, 0.3343, 0.4097, -0.8349, -0.3709, 0.3077, 0.2808, 0.1558, 0.6471, -0.1954, -0.0964, -0.1124, 0.1778, -0.2731, 0.165, -0.0809, -0.2398, 0.1422, -0.576, 0.5487, 0.329, 0.1632, -0.2028, 0.2148, 0.4225]"
sistem pakar diagnosa penyakit anemia menggunakan metode certainty factor dan forward chaining berbasis android,"[0.6142, -0.1205, -0.0033, 0.1137, -0.0378, -0.3508, 0.779, 0.3191, 0.1272, 0.6436, -0.1866, 0.2095, -0.2533, 0.4014, 0.3329, -0.1654, 0.3386, -0.0468, -0.3428, -0.0839, -0.4043, 0.0184, 0.09, -0.2888, 0.3575, -0.2454, 0.1304, 0.3333, -0.507, -0.6381, 0.2316, 0.132, 0.2881, 0.4834, -0.1444, -0.3916, -0.0316, 0.0538, -0.1304, -0.1022, -0.0149, -0.1081, 0.2033, -0.4628, 0.4778, 0.5021, 0.1143, -0.1375, 0.1277, 0.4045]"
klasifikasi penyakit gagal jantung menggunakan algoritma k-nearest neighbor dengan  fitur seleksi backward elimination,"[0.7006, -0.1083, 0.0149, 0.0809, 0.1535, -0.3316, 0.8623, 0.1713, 0.1389, 0.4226, -0.1571, 0.2678, -0.3697, 0.5286, 0.5859, 0.0082, 0.3899, -0.097, -0.2786, -0.0764, -0.1167, 0.1265, 0.1251, -0.3284, 0.4216, -0.4647, 0.2747, 0.407, -0.6488, -0.5181, 0.2739, 0.1984, 0.2892, 0.5811, -0.2016, -0.224, -0.0824, 0.048, -0.1494, 0.0021, 0.0108, -0.2282, 0.1805, -0.613, 0.5836, 0.4994, 0.1027, -0.2302, 0.2473, 0.4264]"
klasifikasi penjurusan siswa sma negeri 2 situbondo  menggunakan metode k-nearest neighbor (knn),"[0.7209, -0.0963, 0.0082, 0.0845, 0.1712, -0.3145, 0.8458, 0.1516, 0.1296, 0.3989, -0.1395, 0.2949, -0.3928, 0.5575, 0.6184, 0.0628, 0.4062, -0.0841, -0.2169, -0.0619, -0.0491, 0.1581, 0.1142, -0.3273, 0.449, -0.5325, 0.2768, 0.397, -0.7348, -0.4485, 0.2664, 0.2513, 0.2488, 0.6013, -0.1954, -0.1862, -0.0593, 0.0816, -0.1934, 0.0683, -0.025, -0.221, 0.1402, -0.5943, 0.5657, 0.4156, 0.1437, -0.2315, 0.2458, 0.3978]"
analisis data mining dengan metode naive bayes multinomial  terhadap klasifikasi judul pemberitaan,"[0.7231, -0.1057, -0.018, 0.1054, 0.1373, -0.3163, 0.8211, 0.1888, 0.1249, 0.4206, -0.1265, 0.2481, -0.3177, 0.4185, 0.527, -0.0041, 0.3245, -0.1108, -0.2426, -0.0689, -0.1299, 0.0966, 0.14, -0.2752, 0.3565, -0.4121, 0.2693, 0.368, -0.6534, -0.4869, 0.2888, 0.2136, 0.2732, 0.5515, -0.1786, -0.2114, -0.138, 0.0671, -0.1649, -0.0767, -0.0407, -0.1979, 0.2106, -0.5097, 0.511, 0.4482, 0.085, -0.324, 0.2398, 0.3769]"
klasifikasi atlet karate menggunakan algoritma rough set pada dojo shinkyokushin roxy jember ,"[0.6886, -0.0947, -0.0246, 0.0785, 0.1058, -0.3392, 0.7701, 0.2038, 0.1319, 0.4376, -0.131, 0.2482, -0.3056, 0.454, 0.4552, 0.019, 0.3496, -0.1061, -0.2257, -0.0557, -0.1481, 0.0986, 0.0988, -0.2411, 0.4005, -0.4293, 0.223, 0.3304, -0.6613, -0.4664, 0.2455, 0.2007, 0.2686, 0.5373, -0.1884, -0.2244, -0.1046, 0.1238, -0.2215, 0.0049, -0.0638, -0.1294, 0.1575, -0.4567, 0.4647, 0.4067, 0.1155, -0.2547, 0.1796, 0.3479]"
prototype sistem monitoring meteran air pt pdam jember berbasis internet of things dengan menggunakan web,"[0.6518, -0.079, -0.0337, 0.0924, 0.0408, -0.3803, 0.7998, 0.2732, 0.2145, 0.5502, -0.1574, 0.1954, -0.236, 0.3777, 0.3425, -0.0478, 0.3337, -0.1493, -0.2311, -0.0754, -0.2931, 0.0196, 0.0574, -0.1665, 0.4128, -0.3422, 0.1459, 0.28, -0.6115, -0.5678, 0.2259, 0.1694, 0.3331, 0.5265, -0.1755, -0.3465, -0.0759, 0.1695, -0.2387, -0.0184, -0.1077, -0.0241, 0.1561, -0.3889, 0.4097, 0.4404, 0.0798, -0.2149, 0.1485, 0.3362]"
sistem pengawasan suhu dan waktu pemberian nutrisi pada tanaman hidroponik berbasis internet of things,"[0.601, -0.0909, -0.0235, 0.0787, -0.0004, -0.3386, 0.7313, 0.2802, 0.1818, 0.5385, -0.1593, 0.1846, -0.2191, 0.3487, 0.3044, -0.082, 0.3022, -0.1034, -0.2551, -0.0582, -0.2998, 0.0106, 0.0797, -0.1952, 0.3732, -0.2846, 0.1389, 0.2731, -0.5465, -0.5459, 0.213, 0.1494, 0.2941, 0.4718, -0.1595, -0.3389, -0.0718, 0.1142, -0.1863, -0.0539, -0.0682, -0.036, 0.177, -0.3732, 0.3901, 0.4325, 0.0931, -0.1962, 0.1271, 0.3157]"
"analisis kualitas layanan ftp dan video conference  pada jaringan manet (mobile ad hoc network) 
menggunakan simulator opnet modeler 14.5","[0.6523, -0.0829, -0.0364, 0.0713, 0.0501, -0.3483, 0.7697, 0.2479, 0.1943, 0.508, -0.1462, 0.1959, -0.2547, 0.3874, 0.3693, -0.0373, 0.3279, -0.1199, -0.2358, -0.0644, -0.2508, 0.0268, 0.086, -0.1923, 0.404, -0.3592, 0.1666, 0.2866, -0.6242, -0.5242, 0.2235, 0.1737, 0.2906, 0.5053, -0.1782, -0.3229, -0.0867, 0.1268, -0.2152, -0.0227, -0.0825, -0.0566, 0.1729, -0.4068, 0.4057, 0.4324, 0.1068, -0.2256, 0.1573, 0.322]"
"penerapan metode simple additive weighting dalam sistem pendukung keputusan untuk penilaian pegawai terbaik
di rs bhayangkara bondowoso","[0.6381, -0.1015, -0.0302, 0.0684, -0.0108, -0.3559, 0.76, 0.3069, 0.1762, 0.5491, -0.1638, 0.1987, -0.2349, 0.382, 0.3059, -0.0583, 0.3295, -0.1275, -0.241, -0.0491, -0.3059, 0.027, 0.0769, -0.1984, 0.405, -0.3188, 0.1484, 0.2717, -0.6055, -0.5698, 0.2008, 0.162, 0.3312, 0.4925, -0.1811, -0.3468, -0.0757, 0.1449, -0.2297, -0.0428, -0.0868, -0.0192, 0.1484, -0.3737, 0.405, 0.437, 0.1077, -0.2204, 0.1214, 0.3067]"
"klasifikasi pendapat masyarakat terhadap penggunaan vaksin dalam mengantisipasi covid-19 
menggunakan teknik sentimen analisis berbasis naive bayes","[0.8691, -0.1097, -0.0147, 0.1581, 0.2682, -0.3228, 0.9074, 0.1254, 0.0812, 0.3432, -0.0797, 0.3242, -0.393, 0.4862, 0.7199, 0.0779, 0.3532, -0.137, -0.2194, -0.1097, 0.0191, 0.1728, 0.1574, -0.3141, 0.3509, -0.5467, 0.3937, 0.4413, -0.7683, -0.4479, 0.3941, 0.2744, 0.2649, 0.6468, -0.1917, -0.0828, -0.2139, 0.0851, -0.1796, -0.0734, -0.0593, -0.3289, 0.2351, -0.5968, 0.6163, 0.4576, 0.0487, -0.4577, 0.338, 0.4438]"
clustering untuk menentukan strategi promosi universitas muhammadiyah jember dengan algoritma k-medoids,"[0.7638, -0.0418, -0.096, 0.0166, 0.0604, -0.4758, 0.7732, 0.3008, 0.2078, 0.5001, -0.1418, 0.2784, -0.2526, 0.4299, 0.2896, 0.0888, 0.4132, -0.2137, -0.2091, -0.0462, -0.2276, 0.0934, 0.0224, -0.1344, 0.5145, -0.4923, 0.2095, 0.2134, -0.7381, -0.5428, 0.1766, 0.1628, 0.4033, 0.5577, -0.301, -0.2769, -0.178, 0.2883, -0.4202, 0.0942, -0.199, 0.0097, 0.0402, -0.2961, 0.4332, 0.4497, 0.0752, -0.3253, 0.1074, 0.3348]"
"analisa perbandingan metode double moving average dan metode double exponential
smoothing (holt) dalam peramalan harga gabah kering panen di tingkat petani ","[0.5919, -0.0697, 0.0167, 0.1943, 0.119, -0.4277, 0.9784, 0.2224, 0.3768, 0.5898, -0.1896, 0.1409, -0.1974, 0.3402, 0.4056, -0.0818, 0.3012, -0.2418, -0.2046, -0.1141, -0.3792, -0.0244, -0.003, -0.046, 0.4016, -0.2807, 0.0601, 0.2918, -0.5234, -0.6907, 0.249, 0.1585, 0.4749, 0.6028, -0.1085, -0.4513, 0.0282, 0.2433, -0.1928, -0.0418, -0.1119, 0.0094, 0.1704, -0.446, 0.4137, 0.475, -0.0555, -0.1362, 0.2233, 0.3519]"
diagnosa penyakit pada tanaman tembakau di kabupaten jember dengan menggunakan metode fuzzy k-nearest neighbor,"[0.6648, -0.0886, -0.0219, 0.0346, 0.0263, -0.4138, 0.7936, 0.3114, 0.18, 0.5613, -0.1948, 0.2494, -0.2797, 0.4508, 0.3509, -0.0518, 0.3672, -0.1301, -0.3251, -0.0438, -0.312, 0.0611, 0.095, -0.2404, 0.4519, -0.3706, 0.1824, 0.3184, -0.6112, -0.6212, 0.2104, 0.1432, 0.3564, 0.5314, -0.2394, -0.3516, -0.1035, 0.1225, -0.238, -0.0082, -0.0517, -0.0705, 0.1524, -0.4456, 0.4796, 0.5227, 0.1102, -0.1984, 0.1218, 0.3728]"
"rekomendasi pemilihan jurusan perguruan tinggi menggunakan metode analytical hierarchy process – complex
proportional assessment","[0.6418, -0.1046, -0.0201, 0.0751, 0.0057, -0.3306, 0.7689, 0.2767, 0.1736, 0.5238, -0.1656, 0.2058, -0.255, 0.3965, 0.3549, -0.0453, 0.3382, -0.1017, -0.2335, -0.038, -0.2571, 0.0446, 0.0888, -0.2332, 0.4042, -0.3387, 0.1556, 0.2927, -0.6182, -0.5423, 0.2028, 0.1801, 0.3133, 0.5064, -0.1713, -0.3292, -0.0518, 0.1187, -0.2044, -0.0298, -0.0658, -0.0487, 0.149, -0.4137, 0.4293, 0.422, 0.1123, -0.2201, 0.1456, 0.3073]"
"peramalan penjualan batu gamping pada ud eko joyo menggunakan single exponential
smoothing dan double exponential smoothing","[0.5712, -0.0766, 0.009, 0.1668, 0.0748, -0.3869, 0.911, 0.2399, 0.345, 0.5764, -0.1862, 0.1218, -0.1924, 0.326, 0.3755, -0.0927, 0.2986, -0.1998, -0.2026, -0.0978, -0.37, -0.033, 0.0182, -0.0858, 0.3892, -0.2574, 0.0669, 0.2793, -0.5148, -0.6526, 0.2206, 0.1566, 0.4352, 0.561, -0.1071, -0.4405, 0.0269, 0.1951, -0.1761, -0.0525, -0.0893, 0.0165, 0.1704, -0.4347, 0.3997, 0.4494, -0.0236, -0.1408, 0.2031, 0.3273]"
prediksi nilai penutupan forex menggunakanimetodeifuzzy timeiseriesicheng,"[0.6229, -0.0759, -0.0176, 0.087, 0.0674, -0.3567, 0.7818, 0.2258, 0.2009, 0.4974, -0.1498, 0.1868, -0.2405, 0.3908, 0.3648, -0.0323, 0.3193, -0.1313, -0.2263, -0.0656, -0.2606, 0.0376, 0.0711, -0.1725, 0.3956, -0.3522, 0.1514, 0.2858, -0.5957, -0.5168, 0.2058, 0.1647, 0.3133, 0.5079, -0.1647, -0.3206, -0.0599, 0.156, -0.209, -0.0208, -0.0768, -0.0527, 0.1608, -0.4022, 0.4019, 0.4232, 0.0756, -0.1943, 0.1512, 0.3169]"
rancang bangun alat ukur suhu tubuh otomatis berbasis arduino,"[0.6154, -0.0673, -0.0283, 0.021, 0.0223, -0.3551, 0.6936, 0.2754, 0.1754, 0.4983, -0.1681, 0.2123, -0.2342, 0.3706, 0.3069, -0.0408, 0.3127, -0.0698, -0.2908, -0.0159, -0.2537, 0.0508, 0.1063, -0.2189, 0.3852, -0.3143, 0.1671, 0.2837, -0.5551, -0.52, 0.1802, 0.1305, 0.3026, 0.4771, -0.1982, -0.3121, -0.1084, 0.0979, -0.1965, -0.0266, -0.037, -0.0513, 0.168, -0.3843, 0.4259, 0.4372, 0.0866, -0.2101, 0.103, 0.2987]"
sistem penilaian karyawan kontrak menjadi karyawan tetap menggunakan metode electre,"[0.6371, -0.0884, -0.0366, 0.0461, -0.03, -0.3836, 0.7809, 0.3445, 0.2169, 0.5848, -0.1909, 0.1756, -0.2068, 0.3521, 0.2586, -0.0881, 0.3193, -0.1481, -0.279, -0.0374, -0.36, -0.0114, 0.0936, -0.1839, 0.4157, -0.2925, 0.1259, 0.2704, -0.5826, -0.6062, 0.1945, 0.1422, 0.3727, 0.4949, -0.2017, -0.3985, -0.0871, 0.1395, -0.2361, -0.0743, -0.0859, 0.0166, 0.1636, -0.3615, 0.3966, 0.4855, 0.0929, -0.2373, 0.118, 0.3068]"
diagnosa penyakit demam tifoid dengan model algoritma c4.5,"[0.6267, -0.0878, -0.0083, 0.0415, 0.0407, -0.3427, 0.7394, 0.2529, 0.1478, 0.4902, -0.1681, 0.2325, -0.2764, 0.4272, 0.3807, -0.0405, 0.3427, -0.0662, -0.2955, -0.0346, -0.2368, 0.0744, 0.1077, -0.2654, 0.3948, -0.3475, 0.187, 0.3217, -0.5761, -0.5321, 0.2019, 0.1447, 0.2891, 0.4959, -0.1895, -0.2952, -0.0847, 0.0751, -0.1762, -0.021, -0.012, -0.1071, 0.1758, -0.4555, 0.4668, 0.4578, 0.1075, -0.1889, 0.1333, 0.3388]"
klasifikasi siswa berprestasi menggunakan metode k-nearest neighbor (knn) pada sma negeri 2 situbondo ,"[0.7208, -0.1028, -0.0014, 0.0886, 0.1538, -0.3166, 0.8336, 0.163, 0.1278, 0.4191, -0.1364, 0.2912, -0.3871, 0.5429, 0.5894, 0.0526, 0.3886, -0.0757, -0.2128, -0.0536, -0.0709, 0.1464, 0.1259, -0.3205, 0.4418, -0.51, 0.2595, 0.3914, -0.7394, -0.4425, 0.2643, 0.2604, 0.2325, 0.5879, -0.1917, -0.2005, -0.0646, 0.0873, -0.203, 0.0587, -0.0307, -0.1971, 0.1541, -0.5679, 0.5319, 0.3975, 0.168, -0.2243, 0.227, 0.3857]"
"penerapan metode weight product (wp) untuk penilaian pegawai terbaik di dinas kesehatan bidang kesmas
kabupaten jember","[0.6331, -0.0959, -0.0406, 0.0315, -0.0548, -0.3797, 0.7688, 0.3687, 0.1976, 0.578, -0.2024, 0.1882, -0.2102, 0.3571, 0.2446, -0.0813, 0.3384, -0.1535, -0.2787, -0.0258, -0.3739, -0.0075, 0.085, -0.1923, 0.4274, -0.292, 0.125, 0.2587, -0.5851, -0.6337, 0.1819, 0.1325, 0.4069, 0.4896, -0.2202, -0.4007, -0.0918, 0.1388, -0.2477, -0.0684, -0.0866, 0.021, 0.1416, -0.3568, 0.4049, 0.4977, 0.0961, -0.2462, 0.1085, 0.3058]"
kelayakan pengajuan pinjaman atau kredit pada koperasi ganesha menggunakan algoritma c.45,"[0.6648, -0.0925, -0.0201, 0.0285, 0.0158, -0.3576, 0.7449, 0.2952, 0.1504, 0.5154, -0.1881, 0.2444, -0.2655, 0.4343, 0.355, -0.0246, 0.3456, -0.0768, -0.2806, -0.0095, -0.2445, 0.0831, 0.1123, -0.2624, 0.4106, -0.3573, 0.1848, 0.3215, -0.6187, -0.5539, 0.1974, 0.1536, 0.3327, 0.5271, -0.2016, -0.3129, -0.0971, 0.1059, -0.2179, -0.0263, -0.0422, -0.0703, 0.148, -0.4244, 0.4798, 0.4557, 0.111, -0.2357, 0.1273, 0.3102]"
analisa klasifikasi data kualitas kadar karat emas menggunakan metode modified k-nearest neighbor (mk-nn),"[0.7199, -0.1032, -0.0018, 0.0919, 0.1684, -0.3174, 0.8628, 0.151, 0.1336, 0.4106, -0.1283, 0.2733, -0.3826, 0.5489, 0.6034, 0.0436, 0.4041, -0.0984, -0.2094, -0.0862, -0.0804, 0.1312, 0.0994, -0.3024, 0.4467, -0.5187, 0.2708, 0.3826, -0.7216, -0.4554, 0.2695, 0.2451, 0.2507, 0.5901, -0.1868, -0.1948, -0.0587, 0.0935, -0.192, 0.062, -0.036, -0.2054, 0.1584, -0.5837, 0.5345, 0.425, 0.1437, -0.2234, 0.2475, 0.4174]"
pengelompokan wilayah penyebaran dbd di kabupaten jember dengan menggunakan bisecting k-means,"[0.7905, -0.0287, -0.1332, -0.0311, 0.0217, -0.551, 0.7712, 0.3789, 0.2431, 0.5434, -0.166, 0.2742, -0.2077, 0.3929, 0.1797, 0.0754, 0.4155, -0.2753, -0.2436, -0.0334, -0.3157, 0.0591, 0.0107, -0.0789, 0.5448, -0.4705, 0.2042, 0.1633, -0.7236, -0.6097, 0.1482, 0.1226, 0.4918, 0.5516, -0.3714, -0.3262, -0.248, 0.349, -0.4972, 0.0828, -0.2446, 0.0868, 0.0159, -0.2103, 0.4109, 0.5165, 0.0513, -0.3779, 0.063, 0.3357]"
"optimasi penggunaan bahan dalam pembangunan saluran iriasi pada dinas pengairan kabupaten
bondowoso menggunakan metode algoritma genetika","[0.6956, -0.0959, -0.0399, 0.053, 0.0275, -0.3732, 0.7876, 0.2914, 0.1693, 0.5096, -0.157, 0.2276, -0.2612, 0.4128, 0.3597, -0.0169, 0.3613, -0.133, -0.252, -0.048, -0.2516, 0.0501, 0.0838, -0.2166, 0.4259, -0.3765, 0.1964, 0.2905, -0.6487, -0.5502, 0.2146, 0.1687, 0.3531, 0.5277, -0.2186, -0.3077, -0.1137, 0.1467, -0.2579, -0.0286, -0.0877, -0.0524, 0.1456, -0.399, 0.4476, 0.461, 0.0945, -0.2779, 0.1498, 0.3351]"
"optimasi metode kmeans dengan algoritma artificial bee colony untuk pengelompokkan penyebaran covid-19 pada
provinsi di indonesia","[0.7892, -0.0178, -0.1168, 0.0091, 0.1095, -0.5047, 0.7527, 0.2621, 0.2103, 0.4538, -0.1084, 0.2914, -0.2396, 0.4241, 0.2834, 0.1278, 0.4144, -0.2318, -0.1951, -0.0692, -0.176, 0.1145, 0.0045, -0.0945, 0.5128, -0.534, 0.2468, 0.184, -0.7427, -0.493, 0.1719, 0.1508, 0.3866, 0.5572, -0.3188, -0.2187, -0.2296, 0.344, -0.4617, 0.1353, -0.2341, 0.0061, 0.0279, -0.2498, 0.4251, 0.434, 0.0546, -0.3533, 0.0993, 0.3448]"
penerapan n-gram terhadap analisis sentimen pada fitur belanja tiktokshop menggunakan algoritma k-nearest neighbor,"[0.7299, -0.088, -0.0346, 0.0926, 0.1657, -0.3423, 0.8316, 0.1504, 0.1489, 0.416, -0.1137, 0.2565, -0.3404, 0.4747, 0.5357, 0.0402, 0.3553, -0.1216, -0.2098, -0.0901, -0.1007, 0.1142, 0.1063, -0.2434, 0.417, -0.4817, 0.2656, 0.3433, -0.7152, -0.4507, 0.2646, 0.2341, 0.249, 0.5661, -0.1893, -0.2076, -0.1085, 0.1252, -0.2176, 0.0186, -0.0772, -0.1722, 0.1676, -0.5022, 0.4878, 0.4102, 0.1191, -0.271, 0.2267, 0.3729]"
identifikasi bukti digital pada aplikasi whatsapp berbasis desktop menggunakan live forensic,"[0.6425, -0.101, -0.0291, 0.0835, 0.0471, -0.3194, 0.746, 0.2372, 0.1512, 0.4795, -0.1358, 0.2013, -0.2599, 0.3798, 0.3756, -0.0394, 0.3139, -0.1074, -0.2254, -0.0631, -0.223, 0.0379, 0.0946, -0.2148, 0.3689, -0.3442, 0.1842, 0.2901, -0.6073, -0.4943, 0.2259, 0.1829, 0.2728, 0.4885, -0.1655, -0.283, -0.0923, 0.1099, -0.1923, -0.0415, -0.07, -0.082, 0.1729, -0.4036, 0.4048, 0.4089, 0.1059, -0.2344, 0.1592, 0.3208]"
sentimen analisis pada data ulasan aplikasi kai access di google playstore menggunakan metode multinomial naive bayes,"[0.8328, -0.1084, -0.0346, 0.1477, 0.2316, -0.3496, 0.8739, 0.1313, 0.1078, 0.4219, -0.069, 0.3076, -0.395, 0.5182, 0.6398, 0.074, 0.3574, -0.123, -0.1857, -0.1191, -0.0358, 0.1575, 0.1238, -0.2577, 0.4019, -0.5489, 0.3301, 0.3959, -0.8112, -0.4214, 0.3508, 0.2881, 0.2005, 0.6318, -0.1762, -0.1486, -0.1577, 0.1521, -0.2385, 0.018, -0.1006, -0.2257, 0.208, -0.5337, 0.514, 0.3783, 0.1344, -0.32, 0.2545, 0.4099]"
rancang bangun game edukasi peristiwa kebangsaan masa penjajahan tematik 7 kelas 5 sd berbasis android,"[0.6258, -0.0845, -0.0307, 0.0535, 0.0183, -0.3418, 0.7177, 0.2684, 0.1739, 0.4987, -0.1571, 0.2085, -0.2422, 0.3645, 0.3294, -0.0412, 0.3082, -0.0989, -0.2437, -0.0276, -0.2492, 0.0388, 0.1012, -0.21, 0.3806, -0.327, 0.1571, 0.2774, -0.5962, -0.5105, 0.194, 0.1708, 0.2896, 0.4888, -0.1822, -0.3162, -0.0957, 0.1087, -0.2162, -0.0344, -0.0686, -0.045, 0.155, -0.3782, 0.4045, 0.4169, 0.1121, -0.2273, 0.1303, 0.2954]"
implementasi metode least square untuk peramalan penjualan tape di kabupaten bondowoso,"[0.6226, -0.0923, -0.0147, 0.1064, 0.056, -0.3676, 0.8004, 0.2475, 0.2049, 0.5231, -0.1539, 0.185, -0.2426, 0.3873, 0.3579, -0.0428, 0.3132, -0.1598, -0.2106, -0.0711, -0.2919, 0.0355, 0.059, -0.1484, 0.3982, -0.3382, 0.1419, 0.2792, -0.5955, -0.5512, 0.2166, 0.1772, 0.3326, 0.5154, -0.1548, -0.3316, -0.0518, 0.1806, -0.2299, -0.0227, -0.0996, -0.0314, 0.143, -0.3926, 0.3884, 0.4135, 0.0687, -0.1927, 0.1489, 0.316]"
